info,lat,lon,alt
536903296,39.7745,-77.3542,2284
536903296,39.7744,-77.3541,2289
536903296,39.7744,-77.3541,2293
536903296,39.7743,-77.3540,2298
536903296,39.7743,-77.3539,2303
536903184,39.7743,-77.3539,2307
536903184,39.7742,-77.3538,2312
536903184,39.7742,-77.3537,2321
536903184,39.7741,-77.3537,2326
536903184,39.7741,-77.3536,2331
536903184,39.7740,-77.3535,2336
536903184,39.7740,-77.3535,2341
536903344,39.7739,-77.3534,2345
536903344,39.7739,-77.3534,2350
536903296,39.7738,-77.3533,2355
536903296,39.7738,-77.3533,2360
536903344,39.7738,-77.3532,2365
536903296,39.7737,-77.3532,2370
536903296,39.7737,-77.3532,2375
536903344,39.7737,-77.3531,2380
536903296,39.7737,-77.3531,2385
536903344,39.7736,-77.3530,2390
536903296,39.7736,-77.3529,2395
536903296,39.7736,-77.3529,2401
536903344,39.7735,-77.3528,2406
536903296,39.7735,-77.3527,2412
536903296,39.7734,-77.3527,2418
536903184,39.7734,-77.3526,2424
536903184,39.7734,-77.3526,2429
536903184,39.7733,-77.3525,2434
536903184,39.7733,-77.3525,2440
536903184,39.7732,-77.3524,2445
536903184,39.7732,-77.3524,2451
536903184,39.7731,-77.3524,2456
536903184,39.7731,-77.3523,2462
536903296,39.7730,-77.3523,2467
536903296,39.7730,-77.3523,2473
536903296,39.7730,-77.3523,2478
536903296,39.7729,-77.3522,2483
536903344,39.7729,-77.3522,2489
536903344,39.7729,-77.3522,2494
536903296,39.7729,-77.3522,2499
536903344,39.7728,-77.3521,2504
536903296,39.7728,-77.3521,2510
536903344,39.7728,-77.3521,2515
536903296,39.7728,-77.3521,2520
536903296,39.7728,-77.3520,2525
536903344,39.7728,-77.3520,2529
536903296,39.7727,-77.3519,2534
536903296,39.7727,-77.3519,2539
536903184,39.7727,-77.3519,2543
536903184,39.7727,-77.3518,2548
536903184,39.7727,-77.3518,2553
536903184,39.7727,-77.3518,2557
536903184,39.7727,-77.3517,2562
536903184,39.7726,-77.3517,2567
536903296,39.7726,-77.3517,2572
536903296,39.7726,-77.3517,2578
536903296,39.7726,-77.3516,2583
536903296,39.7725,-77.3516,2588
536903296,39.7725,-77.3516,2593
536903344,39.7725,-77.3515,2599
536903344,39.7725,-77.3515,2604
536903344,39.7724,-77.3514,2610
536903296,39.7724,-77.3514,2615
536903296,39.7724,-77.3513,2621
536903296,39.7724,-77.3513,2626
536903296,39.7723,-77.3512,2632
536903296,39.7723,-77.3512,2637
536903296,39.7723,-77.3511,2643
536903296,39.7723,-77.3511,2648
536903184,39.7723,-77.3510,2653
536903184,39.7723,-77.3510,2658
536903184,39.7723,-77.3509,2663
536903184,39.7723,-77.3508,2668
536903296,39.7723,-77.3508,2672
536903296,39.7723,-77.3507,2677
536903296,39.7722,-77.3506,2681
